ALTER;Frequency;Percent
18;80111;1,32
19;80025;1,32
20;79585;1,31
21;80770;1,33
22;81918;1,35
23;87480;1,44
24;90275;1,49
25;93590;1,54
26;97376;1,60
27;103102;1,70
28;105716;1,74
29;108656;1,79
30;111855;1,84
31;117271;1,93
32;120385;1,98
33;121869;2,01
34;122752;2,02
35;122690;2,02
36;121768;2,00
37;121097;1,99
38;120991;1,99
39;120462;1,98
40;119378;1,97
41;120903;1,99
42;120090;1,98
43;118796;1,96
44;116595;1,92
45;113804;1,87
46;112813;1,86
47;111115;1,83
48;110250;1,81
49;111790;1,84
50;111534;1,84
51;113287;1,86
52;117213;1,93
53;117592;1,94
54;119330;1,96
55;121948;2,01
56;123242;2,03
57;123242;2,03
58;123208;2,03
59;124293;2,05
60;120580;1,99
61;113983;1,88
62;109240;1,80
63;104474;1,72
64;100375;1,65
65;95882;1,58
66;91851;1,51
67;87689;1,44
68;84696;1,39
69;80960;1,33
70;77570;1,28
71;76842;1,26
72;73258;1,21
73;73952;1,22
74;71764;1,18
75;71243;1,17
