participantId,postalCode,Quant_Ertrag_0-500,Quant_Ertrag_500-1500,Quant_Ertrag_1500-4500
1,8620,0,0,0
2,8046,0,0,0
3,8048,0,0,0
4,8152,0,0,0
5,9422,0,0,0
6,5442,1,1,0
7,1423,1,1,1
8,6130,0,0,1
9,3053,0,1,1
10,2544,0,1,1
11,8134,0,0,0
12,9403,0,0,0
13,3604,0,0,0
14,1205,0,0,0
15,7302,0,1,0
16,8004,0,0,0
17,1983,0,0,0
18,1003,0,0,0
19,6018,1,1,1
20,2016,1,0,0
21,8003,0,0,0
22,9245,0,0,0
23,1066,0,0,0
24,1774,1,1,1
25,3047,0,0,1
26,6003,0,0,0
27,6234,0,1,1
28,8046,1,1,0
29,1774,1,1,1
30,6403,0,0,0
31,1290,0,0,0
32,4242,0,1,0
33,9245,0,0,1
34,8055,0,0,0
35,6454,0,0,0
36,5036,0,1,0
37,9562,1,1,1
38,5606,1,0,1
39,8240,0,1,0
40,6285,1,1,1
41,3627,0,1,1
42,8912,1,1,1
43,6210,0,0,1
44,1724,1,1,1
45,1373,1,1,1
46,4057,0,0,0
47,5430,0,0,0
48,8965,1,1,1
49,2503,0,0,0
50,2504,0,0,0
51,5200,0,0,0
52,4246,1,1,0
53,1967,0,0,0
54,7503,0,0,0
55,5607,1,1,1
56,8932,1,1,1
57,1800,0,0,0
58,2115,1,0,0
59,1023,0,0,0
60,8627,1,1,1
61,6300,1,0,0
62,6417,1,0,0
63,6362,0,0,0
64,8047,0,0,0
65,8620,1,0,1
66,6390,0,0,0
67,4052,0,0,0
68,3812,0,0,0
69,3156,1,0,0
70,3283,0,1,1
71,1762,0,1,1
72,7250,0,0,0
73,1971,0,1,0
74,8104,1,0,0
75,1417,1,1,1
76,8500,0,0,1
77,8833,1,1,0
78,4058,0,0,0
79,6102,0,0,0
80,4657,0,0,0
81,1470,1,1,1
82,8280,0,0,0
83,1004,0,0,0
84,6037,0,0,1
85,9410,0,0,0
86,6020,0,0,0
87,8154,1,1,1
88,8003,0,0,0
89,8037,0,0,0
90,8003,0,0,0
91,1926,1,1,0
92,8632,0,0,0
93,1279,1,1,1
94,8047,0,0,0
95,2053,0,1,1
96,2720,1,0,0
97,1638,1,0,0
98,8049,1,0,0
99,1040,1,1,1
100,4313,1,1,0
101,3754,1,0,0
102,8057,0,0,0
103,4055,0,0,0
104,1223,0,0,0
105,4103,0,0,0
106,1867,1,1,1
107,1752,0,1,1
108,8048,0,0,0
109,8902,0,0,0
110,8902,0,0,0
111,2553,1,1,1
112,2300,0,0,0
113,1216,0,0,0
114,8242,1,1,0
115,3414,0,0,1
116,8953,0,0,0
117,8708,0,0,0
118,8302,0,0,0
119,8807,0,0,0
120,3072,0,0,0
121,8816,0,0,0
122,6430,1,0,0
123,4101,0,0,0
124,3007,0,0,0
125,3283,1,1,1
126,2830,1,1,1
127,2016,1,0,0
128,4313,1,1,0
129,8917,1,1,1
130,8307,1,0,1
131,4053,0,0,0
132,4553,1,1,1
133,8500,1,1,1
134,8400,0,0,0
135,3110,1,1,1
136,4537,1,1,1
137,6020,0,0,1
138,8332,0,1,1
139,8207,0,0,0
140,6006,0,0,0
141,9405,0,0,0
142,2562,0,0,1
143,4900,0,0,1
144,3012,0,0,0
145,3292,1,1,1
146,5703,0,1,1
147,1117,1,1,1
148,9545,0,1,1
149,6263,1,1,1
150,8045,0,0,0
151,2300,0,0,0
152,1870,0,0,0
153,8953,0,0,0
154,8620,0,0,0
155,1241,1,1,0
156,5610,0,1,1
157,1008,0,0,0
158,5445,1,1,1
159,4802,0,0,0
160,5512,1,1,1
161,9200,0,0,0
162,1227,0,0,0
163,3766,0,0,0
164,1926,1,1,0
165,4552,0,1,1
166,1018,0,0,0
167,3977,1,1,0
168,9451,1,1,1
169,8590,0,0,0
170,6003,0,0,0
171,1626,1,1,1
172,8964,0,1,1
173,3604,0,0,0
174,8718,1,0,0
175,9400,0,0,0
176,4143,0,0,0
177,3012,0,0,0
178,5620,0,0,1
179,9012,0,0,0
180,7563,0,0,0
181,7430,1,1,0
182,6112,1,0,0
183,8303,1,0,1
184,8952,0,0,0
185,8552,1,1,1
186,1203,0,0,0
187,8590,0,0,0
188,8953,0,0,0
189,8157,1,1,1
190,6300,0,0,0
191,1053,1,0,1
192,1996,1,0,0
193,4056,0,0,0
194,2560,0,0,0
195,3015,1,0,0
196,6417,1,0,0
197,4055,0,0,0
198,8173,1,1,1
199,8002,0,0,0
200,4466,0,1,0
201,1700,0,0,1
202,3325,1,1,1
203,1110,1,0,1
204,6467,0,0,0
205,3600,0,0,1
206,1148,0,1,1
207,9320,1,1,0
208,4133,0,0,0
209,4125,0,0,0
210,1227,0,0,0
211,8115,1,1,0
212,1700,1,1,1
213,8804,0,0,0
214,1206,0,0,0
215,1290,0,0,0
216,4632,0,0,0
217,5400,0,0,0
218,8854,1,1,0
219,5420,1,1,1
220,1206,0,0,0
221,1219,0,0,0
222,1027,1,1,1
223,3027,0,0,1
224,7320,0,0,0
225,4056,0,0,0
226,4625,1,1,1
227,3510,1,1,1
228,9500,0,0,1
229,4556,1,1,1
230,2022,1,1,0
231,8472,0,1,1
232,8852,1,0,0
233,8057,0,0,0
234,3775,1,0,0
235,8303,1,0,1
236,4533,0,1,0
237,1997,0,0,0
238,4800,0,0,0
239,1462,1,1,1
240,1786,1,1,1
241,7500,0,0,0
242,1963,0,1,0
243,8047,0,0,0
244,8738,0,0,0
245,1023,0,0,1
246,1257,1,1,0
247,3048,0,0,1
248,3238,1,1,1
249,8854,1,0,0
250,3047,0,0,0
251,1217,0,0,0
252,1066,0,0,0
253,1957,0,1,0
254,3280,0,1,1
255,9512,1,0,1
256,6052,0,0,0
257,9436,1,0,1
258,8910,0,1,1
259,1217,0,1,0
260,6300,0,0,0
261,1646,1,1,0
262,6300,0,0,0
263,4132,0,0,0
264,8342,1,0,0
265,5505,1,0,1
266,6055,0,0,0
267,6312,0,1,1
268,4656,0,0,0
269,4053,0,0,0
270,9468,1,1,0
271,9470,0,0,0
272,1870,0,0,1
273,1754,1,1,1
274,1004,0,0,0
275,8158,0,0,1
276,6313,1,1,0
277,4059,0,0,0
278,5034,0,0,0
279,1222,0,1,1
280,2520,0,0,1
281,8003,0,0,0
282,6418,1,0,0
283,3007,0,0,0
284,6274,0,1,1
285,3600,0,0,0
286,8214,1,1,1
287,1400,1,1,1
288,3123,1,1,1
289,4303,0,0,0
290,4103,0,0,0
291,9532,0,0,0
292,8953,0,0,0
293,6034,1,1,1
294,5618,1,1,1
295,2572,1,0,1
296,8003,0,0,0
297,1203,0,0,0
298,1433,1,1,1
299,1586,0,0,1
300,1950,0,0,0
301,2747,0,0,0
302,3661,1,1,1
303,8910,0,1,1
304,8037,0,0,0
305,1207,0,0,0
306,8050,0,0,0
307,4623,1,1,1
308,3363,1,1,1
309,8833,1,1,0
310,5732,1,1,1
311,6010,0,0,0
312,8406,0,0,0
313,8953,0,0,0
314,6030,0,0,0
315,1018,0,0,0
